Date,Country,local_price,dollar_valuation
2018-07-31,USA,5.51,0.0
2019-07-31,USA,5.74,0.0
2006-01-31,LTU,0.0,0.0
2002-04-30,LTU,0.0,0.0
2006-05-31,ISR,0.0,0.0
2001-04-30,LTU,0.0,0.0
2000-04-30,LTU,0.0,0.0
2020-01-31,USA,5.67,0.0
2020-07-31,USA,5.71,0.0
2021-01-31,USA,5.66,0.0
2021-07-31,USA,5.65,0.0
2008-06-30,ISR,0.0,0.0
2007-06-30,ISR,0.0,0.0
2007-01-31,ISR,0.0,0.0
2019-01-31,USA,5.58,0.0
2009-07-31,VEN,0.0,0.0
2001-04-30,LVA,0.0,0.0
2006-01-31,COL,0.0,0.0
2000-04-30,LVA,0.0,0.0
2006-01-31,LVA,0.0,0.0
2000-04-30,COL,0.0,0.0
2001-04-30,COL,0.0,0.0
2003-04-30,LVA,0.0,0.0
2006-01-31,CRI,0.0,0.0
2003-04-30,COL,0.0,0.0
2002-04-30,COL,0.0,0.0
2003-04-30,CRI,0.0,0.0
2002-04-30,CRI,0.0,0.0
2001-04-30,CRI,0.0,0.0
2000-04-30,CRI,0.0,0.0
2002-04-30,LVA,0.0,0.0
2003-04-30,KOR,3300.0,-0.18752646542859
2012-01-31,GRC,3.3,-0.25433501222237
2000-04-30,ARG,2.5,-0.39840637450198
2022-01-31,SWE,54.0,-0.426
2018-01-31,CAN,6.55,-0.43098940281701
2002-04-30,PER,8.5,-0.47654173545495
2013-01-31,CHL,2050.0,-0.50084401751654
2014-01-31,AUT,3.39,-0.55796359704452
2011-07-31,HUN,760.0,-0.59048025191566
2015-01-31,FIN,4.1,-0.82536534446765
2012-01-31,JPN,320.0,-0.88281275090974
2013-01-31,NZL,5.2,-0.98035156343167
2014-01-31,NZL,5.5,-1.1308343845738
2013-07-31,ESP,3.5,-1.2408558888076
2010-01-31,CRI,2050.0,-1.431640510711
2012-01-31,ISR,15.9,-1.5662796488239
2001-04-30,ARG,2.5,-1.5748031496063
2011-07-31,CHL,1850.0,-1.6521769755785
2010-07-31,JPN,320.0,-1.6812506144922
2017-07-31,FIN,4.56,-1.7492075471698
2013-07-31,COL,8600.0,-1.7519755278642
2012-01-31,NLD,3.25,-1.7656329665826
2012-07-31,ESP,3.5,-1.947429231658
2014-07-31,IRL,3.49,-2.0070594369134
2008-06-30,LVA,1.55,-2.0587255881374
2012-07-31,IRL,3.49,-2.2275794338532
2000-04-30,CHL,1260.0,-2.3361805695506
2006-01-31,NZL,4.45,-2.3502859819995
2010-01-31,JPN,320.0,-2.3536433686528
2007-06-30,HUN,600.0,-2.3625251905906
2013-07-31,IRL,3.46,-2.3695318215069
2006-01-31,TUR,4.1,-2.6122482912607
2018-01-31,ITA,4.2,-2.6164772727273
2018-01-31,FRA,4.2,-2.6164772727273
2013-07-31,NLD,3.45,-2.6517008046818
2013-01-31,GBR,2.69,-2.7296205309228
2020-07-31,NOR,52.0,-2.82
2014-07-31,COL,8600.0,-2.9288592416819
2014-07-31,NLD,3.45,-3.1301876955162
2015-01-31,CAN,5.7,-3.1395447337693
2009-07-31,JPN,320.0,-3.1644203081762
2018-01-31,BRA,16.5,-3.1878310976176
2009-07-31,GBR,2.29,-3.2067574155282
